[2025-02-28 21:28:30] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-02-28 21:28:30] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2025-02-28 21:28:30] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-02-28 21:28:30] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-02-28 21:28:30] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-02-28 21:28:30] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-02-28 21:28:32] [class-ss-setup-task.php:33] Creating archive directory: D:\xampp\htdocs\renatojoa/wp-content/uploads\simply-static\temp-files/simply-static-1-1740778110\
[2025-02-28 21:28:32] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/renatojoa/
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-image-carousel-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-image-gallery-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-image-gallery.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-image-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-image.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-base-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-base.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-2-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-2.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-3-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-3.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-4-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-4.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-5-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-5.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-7-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-var-7.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-vars-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio-vars.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-link-in-bio.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-menu-anchor-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-menu-anchor.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-nested-accordion-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-nested-accordion.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-nested-tabs-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-nested-tabs.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-progress-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-progress.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-rating-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-rating.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-social-icons-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-spacer-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-spacer.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-star-rating-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-star-rating.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-tabs-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-tabs.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-testimonial-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-testimonial.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-text-editor-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-text-path-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-text-path.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-toggle-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-toggle.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-video-rtl.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/css/widget-video.min.css
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/025905cd015671d0a830.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/056b8f3bbbcabf026cd1.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/0d1a75a41cae2a76432a.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/0f7962315cd2e100f80e.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/2e387c4154cbf63565b2.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/3ac06e8b9c2e8f04c57d.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/4573680c5d8b9b2d9f17.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/513d3f05d575dabcdc35.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/56a155a8adcef506ce8a.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/5b6ef966b71e5cf670d8.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/947434f8f98ed29acc17.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/accordion.36aa4c8c4eba17bc8e03.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/accordion.7b5b5744bdd225280eca.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/adbbe9b5d6b520e98e4c.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-feedback.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-feedback.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-modules.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-modules.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-modules.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-notifications.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-notifications.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-notifications.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-top-bar.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin-top-bar.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/admin.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-admin.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-admin.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-admin.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-gutenberg.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-gutenberg.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-gutenberg.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-layout.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-layout.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-layout.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-media-library.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-media-library.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-media-library.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-unify-product-images.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-unify-product-images.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai-unify-product-images.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/ai.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/alert.42cc1d522ef5c60bf874.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/alert.b696182ec6f18a35bc69.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/announcements-app.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/announcements-app.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/announcements-app.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app-loader.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app-loader.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app-packages.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app-packages.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app-packages.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/app.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/atomic-widgets-editor.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/atomic-widgets-editor.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/beta-tester.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/beta-tester.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/c4dcba54ff9219690f00.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/cf70912a0f34653ad242.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/checklist.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/checklist.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/checklist.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/common-modules.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/common-modules.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/common.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/common.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/common.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/contact-buttons.7c9983ed0d4964b951c2.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/contact-buttons.c21325756a91b795f8e4.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/container-converter.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/container-converter.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/container.0754914e4611dc659a50.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/container.cb1e834c5aad68e9c908.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/counter.12335f45aaa79d244f24.bundle.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/counter.f359dee9199f5aad06c6.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/dev-tools.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/dev-tools.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e-home-screen.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e-home-screen.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e-react-promotions.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e-react-promotions.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e-wc-product-editor.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e-wc-product-editor.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e-wc-product-editor.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/e5d6feb1b1d6cf52126f.bundle.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-document.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-document.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-environment-v2.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-environment-v2.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-loader-v1.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-loader-v1.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-loader-v2.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-loader-v2.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-modules.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-modules.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-modules.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-notifications.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-notifications.min.js
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor-notifications.min.js.LICENSE.txt
[2025-02-28 21:28:33] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/renatojoa/wp-content/plugins/elementor/assets/js/editor.js
